"drbo"
"drboo"
"drpk"
"drmamara"
"drol"
"drp1"
"drp2"
"drp3"
"drp4b"
"drp4blm"
"drp4o"
"drp4f"
"drp4fyn"
"drp4k94"
"drp4k"
"drp4miv"
"drp4mv"
"drp4nj"
"drp4nor"
"drp4o"
"drp4re"
"drp4s"
"drp5"
"drp5000"
"drp6b"
"drp7m"
"drp8j"
"drram"
"drrar"
"novafm"
"100fm"
"radio2"
"24syv"
"thevoice"
"tv2radio"
"7eren"
"canal9"
"dk4"
"drhd"
"drultra"
"drup"
"dr1"
"dr2"
"dr3"
"folketinget"
"kanal4"
"kanal5"
"kanal6"
"kanaloestjylland"
"ksport"
"sbsnet"
"tv2s"
"tv2d"
"tv2born"
"tv2c"
"tv2fri"
"tvfyn"
"tv2l"
"tv2news"
"tv2n"
"tv2ost"
"tv2sport"
"tv2z"
"tv2oj"
"tv3"
"tv3puls"
"tv3p"
"tv3sport1hd"
"tv3sport2hd"
"tvdk"
"vh1"
"voicetv"
